base_price,competitor_price,demand,stock,is_holiday,target_price
218.54,236.57,0.63,102,0,219.95
256.66,250.01,0.8,103,0,267.84
486.46,499.76,0.38,20,0,491.57
53.18,34.1,0.39,58,0,42.92
488.19,477.5,0.54,107,0,485.91
70.9,75.2,0.35,20,0,67.33
473.99,476.52,0.47,129,0,474.15
104.92,104.72,0.49,174,0,100.1
132.01,142.22,0.22,3,0,134.68
398.81,416.39,0.43,189,1,413.61
196.94,199.76,0.61,81,0,198.66
484.36,488.65,0.51,40,0,482.3
57.04,53.97,0.19,62,1,57.07
378.05,388.9,0.34,4,1,418.28
461.73,475.73,0.32,150,0,467.59
316.08,307.07,0.48,34,0,309.58
370.96,381.39,0.8,102,0,402.16
99.9,97.47,0.57,178,0,97.04
191.46,191.8,0.46,142,0,188.85
84.64,76.23,0.57,85,1,88.1
183.04,167.25,0.2,83,1,175.11
413.35,429.19,0.45,189,0,400.91
242.2,254.92,0.0,164,0,219.13
159.86,146.59,0.57,159,0,152.31
213.63,232.5,0.12,112,1,212.78
489.48,485.92,0.49,86,0,492.49
157.8,143.6,0.57,159,0,143.83
216.34,206.03,0.5,37,0,214.57
335.09,336.52,0.3,92,1,352.54
149.11,157.55,0.39,146,0,147.6
473.24,469.14,0.75,10,0,519.49
466.11,481.21,0.51,98,0,467.39
491.98,492.64,0.51,159,0,473.35
207.14,216.18,0.6,130,1,220.5
449.5,463.53,0.67,111,0,455.34
52.28,38.71,0.86,81,0,51.35
497.51,484.54,0.5,47,0,495.11
432.15,438.46,0.42,32,0,434.13
336.35,326.37,0.56,50,1,353.5
407.67,407.77,0.51,27,0,411.34
153.58,153.55,0.8,16,1,179.87
175.8,191.14,0.58,123,0,184.69
242.68,261.35,0.33,160,0,236.48
300.56,318.01,0.2,57,1,295.61
144.01,150.86,0.24,129,0,139.47
111.48,119.84,0.35,38,0,117.08
414.55,429.23,0.5,56,0,415.9
81.92,77.79,0.67,141,1,83.65
219.01,202.77,0.4,152,0,211.29
427.52,441.94,0.52,48,0,435.07
212.09,197.17,0.81,107,0,218.31
73.26,74.51,0.53,46,0,70.02
109.74,128.52,0.24,57,0,102.94
483.19,496.63,0.1,136,0,448.98
461.85,459.54,0.44,88,0,458.95
479.69,489.21,0.46,190,0,468.06
71.47,74.11,0.36,46,0,75.82
366.65,365.61,0.45,175,1,371.47
259.1,265.09,0.44,137,0,260.93
435.42,441.77,0.6,3,0,457.0
474.91,489.6,0.73,139,0,514.0
256.21,258.04,0.61,100,0,259.97
343.17,331.44,0.32,45,0,335.59
357.35,340.2,0.36,7,0,366.53
203.28,193.71,0.89,113,0,218.41
380.78,392.92,0.49,163,0,373.6
413.08,432.7,0.14,95,0,394.35
436.29,433.45,0.26,12,0,416.02
219.98,221.35,0.01,140,1,214.97
54.88,71.09,0.48,75,0,64.31
354.55,353.85,0.33,68,0,352.62
352.63,362.73,0.5,150,0,351.8
468.92,487.89,0.56,74,0,471.04
392.68,397.41,0.84,6,0,433.93
228.49,244.17,0.51,165,1,236.1
216.79,229.3,0.26,70,1,218.83
219.32,202.66,0.56,90,0,212.62
245.5,235.65,0.8,125,0,255.92
102.89,108.86,0.6,189,0,100.85
87.3,88.44,0.81,116,1,94.25
486.45,468.17,0.51,163,0,468.63
285.39,290.57,0.7,13,0,301.89
363.62,358.98,0.57,73,1,386.49
255.05,259.85,0.54,7,0,266.88
224.72,213.9,0.34,191,0,208.93
175.89,172.34,0.23,156,0,152.74
473.24,469.9,0.66,9,1,520.29
70.35,51.4,0.53,32,0,64.47
493.38,488.45,0.38,58,1,522.91
260.91,257.5,0.79,128,0,273.91
361.27,362.65,0.56,22,0,366.13
432.34,422.24,0.54,77,0,426.82
173.63,161.92,0.57,33,0,166.25
352.21,353.02,0.6,117,1,370.25
417.37,436.09,0.39,150,0,424.19
366.84,355.35,1.0,165,0,379.75
323.64,329.11,0.33,51,0,324.79
459.71,451.63,0.52,105,1,487.53
116.18,133.25,0.16,68,1,118.95
197.94,203.27,0.49,114,0,199.14
313.14,309.16,0.32,131,0,315.92
263.28,269.99,0.61,177,0,253.32
419.81,413.61,0.45,69,0,417.55
142.85,137.42,0.48,77,0,139.44
91.53,90.78,0.52,106,1,92.04
174.59,186.84,0.89,112,0,195.35
291.47,308.43,0.65,77,0,299.03
66.51,56.6,0.34,6,0,69.31
387.33,368.55,0.43,114,0,379.39
219.78,200.58,0.68,184,1,213.91
290.9,280.23,0.43,137,0,287.68
89.11,90.6,0.08,33,0,84.19
304.01,299.16,0.64,63,0,301.11
493.93,498.16,0.44,32,0,492.45
214.41,213.92,0.66,78,1,223.85
126.9,133.65,0.53,184,0,124.83
264.48,278.02,0.32,19,0,273.95
324.78,316.32,0.63,36,0,326.56
194.29,198.04,0.35,4,0,207.12
195.06,207.45,0.07,64,0,180.15
102.51,101.44,0.76,94,1,118.99
484.26,469.23,0.59,119,1,503.92
220.65,237.71,0.62,13,0,236.74
133.88,123.31,0.6,77,0,129.3
444.74,440.44,0.45,13,1,486.41
292.9,290.45,0.76,152,0,300.31
289.34,272.0,0.55,197,1,290.68
200.71,186.28,0.19,14,1,199.23
383.66,386.58,0.69,32,0,385.23
393.11,408.18,0.64,96,0,397.99
220.47,218.75,0.51,135,0,217.25
375.01,383.82,1.0,94,0,404.56
372.28,376.24,0.26,22,0,351.88
119.01,122.46,0.36,189,0,113.44
376.74,380.46,0.74,30,0,403.47
381.4,398.77,0.63,10,0,396.09
493.18,506.73,0.51,167,0,478.78
384.91,373.14,0.72,56,0,406.66
229.18,230.67,0.45,161,1,234.67
64.78,81.29,0.63,181,0,67.45
238.52,255.11,0.72,149,0,257.32
281.83,300.85,0.13,104,0,266.95
88.41,108.28,1.0,140,0,99.83
409.9,403.88,0.51,157,0,389.11
262.43,265.02,0.78,112,0,282.17
119.86,107.14,0.0,156,0,106.41
172.54,188.43,0.78,54,0,191.54
346.52,327.6,0.53,66,0,342.56
58.87,43.03,0.4,96,0,56.33
412.39,431.94,0.6,31,1,444.65
228.73,235.46,0.37,175,0,224.08
381.16,395.08,0.31,111,0,386.17
239.64,255.35,0.4,129,0,239.7
423.79,417.6,0.71,136,0,449.55
476.8,487.35,0.69,127,0,479.82
280.61,290.27,0.49,193,0,271.26
112.71,126.11,0.5,108,0,118.56
420.16,421.35,0.57,41,0,418.26
299.38,305.44,0.41,105,0,298.83
169.92,179.21,0.61,97,0,174.36
128.92,145.49,0.13,121,0,123.4
481.38,468.76,0.24,180,0,426.19
225.18,216.73,0.77,38,0,242.9
228.49,246.66,0.32,149,0,231.09
64.03,54.52,0.38,189,1,58.89
330.5,329.47,0.52,72,0,332.47
272.97,280.51,0.19,130,0,251.15
485.46,465.67,0.42,11,0,492.43
462.79,448.26,0.49,46,0,463.01
391.28,396.83,0.62,80,0,394.87
432.14,422.12,0.19,153,0,386.97
69.87,73.4,0.49,144,0,71.61
461.97,443.33,0.28,175,0,408.7
407.9,417.71,0.71,115,1,462.72
423.01,404.49,0.22,187,0,378.37
288.62,286.26,0.6,107,0,290.95
292.28,298.75,0.53,169,1,298.72
257.87,277.49,0.84,12,0,296.13
409.45,429.37,0.74,61,0,445.36
443.15,462.52,0.36,9,0,462.84
285.13,294.42,0.5,119,0,285.88
155.12,136.81,0.47,192,1,147.9
